timestamp=20260710_150352
total=217 counts={'PASS': 217}
pre_health_rc=0 post_health_rc=0
PASS b1_c128_h28_w28_oc256_wic128_k1x1_g1
PASS b1_c256_h28_w28_oc256_wic256_k1x1_g1
PASS b1_c3_h224_w224_oc32_wic3_k3x3_g1
PASS b1_c96_h112_w112_oc96_wic1_k3x3_g96_s1_pvalid
PASS b1_c144_h56_w56_oc144_wic1_k3x3_g144_s1_pvalid
PASS b1_c192_h28_w28_oc96_wic192_k1x1_g1_s1_pvalid
PASS b1_c32_h14_w14_oc64_wic32_k3x3_g1_s1_pvalid
PASS b1_c528_h14_w14_oc256_wic528_k1x1_g1_s1_pvalid
PASS b1_c528_h14_w14_oc160_wic528_k1x1_g1_s1_pvalid
PASS b1_c160_h14_w14_oc320_wic160_k3x3_g1_s1_pvalid
PASS b1_c528_h14_w14_oc32_wic528_k1x1_g1_s1_pvalid
PASS b1_c32_h14_w14_oc128_wic32_k3x3_g1_s1_pvalid
PASS b1_c528_h14_w14_oc128_wic528_k1x1_g1_s1_pvalid
PASS b1_c160_h7_w7_oc320_wic160_k3x3_g1_s1_pvalid
PASS b1_c32_h7_w7_oc128_wic32_k3x3_g1_s1_pvalid
PASS b1_c192_h7_w7_oc384_wic192_k3x3_g1_s1_pvalid
PASS b1_c832_h7_w7_oc48_wic832_k1x1_g1_s1_pvalid
PASS b1_c32_h150_w150_oc32_wic1_k3x3_g32_s1_pvalid
PASS b1_c32_h150_w150_oc16_wic32_k1x1_g1_s1_pvalid
PASS b1_c16_h150_w150_oc96_wic16_k1x1_g1_s1_pvalid
PASS b1_c96_h150_w150_oc96_wic1_k3x3_g96_s1_pvalid
PASS b1_c96_h75_w75_oc24_wic96_k1x1_g1_s1_pvalid
PASS b1_c144_h75_w75_oc144_wic1_k3x3_g144_s1_pvalid
PASS b1_c144_h75_w75_oc24_wic144_k1x1_g1_s1_pvalid
PASS b1_c144_h38_w38_oc32_wic144_k1x1_g1_s1_pvalid
PASS b1_c192_h38_w38_oc192_wic1_k3x3_g192_s1_pvalid
PASS b1_c192_h38_w38_oc32_wic192_k1x1_g1_s1_pvalid
PASS b1_c384_h19_w19_oc384_wic1_k3x3_g384_s1_pvalid
PASS b1_c384_h19_w19_oc64_wic384_k1x1_g1_s1_pvalid
PASS b1_c384_h19_w19_oc96_wic384_k1x1_g1_s1_pvalid
PASS b1_c576_h19_w19_oc576_wic1_k3x3_g576_s1_pvalid
PASS b1_c576_h19_w19_oc96_wic576_k1x1_g1_s1_pvalid
PASS b1_c576_h19_w19_oc12_wic576_k1x1_g1_s1_pvalid
PASS b1_c576_h19_w19_oc273_wic576_k1x1_g1_s1_pvalid
PASS b1_c960_h10_w10_oc960_wic1_k3x3_g960_s1_pvalid
PASS b1_c1280_h10_w10_oc24_wic1280_k1x1_g1_s1_pvalid
PASS b1_c1280_h10_w10_oc546_wic1280_k1x1_g1_s1_pvalid
PASS b1_c256_h10_w10_oc512_wic256_k3x3_g1_s1_pvalid
PASS b1_c128_h5_w5_oc256_wic128_k3x3_g1_s1_pvalid
PASS b1_c256_h3_w3_oc24_wic256_k1x1_g1_s1_pvalid
PASS b1_c256_h3_w3_oc546_wic256_k1x1_g1_s1_pvalid
PASS b1_c256_h3_w3_oc128_wic256_k1x1_g1_s1_pvalid
PASS b1_c128_h3_w3_oc256_wic128_k3x3_g1_s1_pvalid
PASS b1_c256_h2_w2_oc24_wic256_k1x1_g1_s1_pvalid
PASS b1_c256_h2_w2_oc546_wic256_k1x1_g1_s1_pvalid
PASS b1_c256_h2_w2_oc64_wic256_k1x1_g1_s1_pvalid
PASS b1_c128_h1_w1_oc24_wic128_k1x1_g1_s1_pvalid
PASS b1_c3_h320_w320_oc32_wic3_k3x3_g1_s1_pvalid
PASS b1_c32_h160_w160_oc8_wic32_k1x1_g1_s1_pvalid
PASS b1_c8_h160_w160_oc16_wic8_k3x3_g1_s1_pvalid
PASS b1_c16_h160_w160_oc128_wic16_k3x3_g1_s1_pvalid
PASS b1_c128_h80_w80_oc16_wic128_k1x1_g1_s1_pvalid
PASS b1_c16_h80_w80_oc64_wic16_k3x3_g1_s1_pvalid
PASS b1_c64_h80_w80_oc16_wic64_k1x1_g1_s1_pvalid
PASS b1_c16_h80_w80_oc128_wic16_k3x3_g1_s1_pvalid
PASS b1_c16_h80_w80_oc128_wic16_k5x5_g1_s1_pvalid
PASS b1_c128_h40_w40_oc40_wic128_k1x1_g1_s1_pvalid
PASS b1_c40_h40_w40_oc160_wic40_k3x3_g1_s1_pvalid
PASS b1_c160_h40_w40_oc40_wic160_k1x1_g1_s1_pvalid
PASS b1_c40_h40_w40_oc320_wic40_k1x1_g1_s1_pvalid
PASS b1_c320_h40_w40_oc320_wic1_k3x3_g320_s1_pvalid
PASS b1_c320_h20_w20_oc72_wic320_k1x1_g1_s1_pvalid
PASS b1_c72_h20_w20_oc576_wic72_k1x1_g1_s1_pvalid
PASS b1_c576_h20_w20_oc576_wic1_k3x3_g576_s1_pvalid
PASS b1_c576_h20_w20_oc72_wic576_k1x1_g1_s1_pvalid
PASS b1_c72_h20_w20_oc288_wic72_k3x3_g1_s1_pvalid
PASS b1_c288_h20_w20_oc72_wic288_k1x1_g1_s1_pvalid
PASS b1_c576_h20_w20_oc576_wic1_k5x5_g576_s1_pvalid
PASS b1_c576_h20_w20_oc96_wic576_k1x1_g1_s1_pvalid
PASS b1_c768_h20_w20_oc768_wic1_k5x5_g768_s1_pvalid
PASS b1_c768_h20_w20_oc96_wic768_k1x1_g1_s1_pvalid
PASS b1_c768_h20_w20_oc768_wic1_k3x3_g768_s1_pvalid
PASS b1_c768_h10_w10_oc120_wic768_k1x1_g1_s1_pvalid
PASS b1_c960_h10_w10_oc120_wic960_k1x1_g1_s1_pvalid
PASS b1_c480_h10_w10_oc480_wic1_k5x5_g480_s1_pvalid
PASS b1_c480_h10_w10_oc120_wic480_k1x1_g1_s1_pvalid
PASS b1_c960_h10_w10_oc960_wic1_k5x5_g960_s1_pvalid
PASS b1_c256_h10_w10_oc256_wic1_k3x3_g256_s1_pvalid
PASS b1_c128_h3_w3_oc256_wic128_k1x1_g1_s1_pvalid
PASS b1_c128_h3_w3_oc128_wic1_k3x3_g128_s1_pvalid
PASS b1_c128_h2_w2_oc256_wic128_k1x1_g1_s1_pvalid
PASS b1_c64_h1_w1_oc128_wic64_k1x1_g1_s1_pvalid
PASS b1_c96_h20_w20_oc96_wic1_k3x3_g96_s1_pvalid
PASS b1_c384_h10_w10_oc384_wic1_k3x3_g384_s1_pvalid
PASS b1_c512_h5_w5_oc512_wic1_k3x3_g512_s1_pvalid
PASS b1_c256_h3_w3_oc256_wic1_k3x3_g256_s1_pvalid
PASS b1_c96_h20_w20_oc12_wic96_k1x1_g1_s1_pvalid
PASS b1_c96_h20_w20_oc273_wic96_k1x1_g1_s1_pvalid
PASS b1_c384_h10_w10_oc546_wic384_k1x1_g1_s1_pvalid
